,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
33,33,3021028400.jpg#1r1e,entailment,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A person in a suit,"A man is a person, and both sentences mention suits."," *Man* in a black *suit,* white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *person* in a *suit*,"Man is person, and black suit is a type of suit."," *Man* in a *black* *suit,* white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *person* in a *suit*,A man is a type of person.," *Man* in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *person* in a suit,"['Man', 'suit']","['person', 'suit']","['Man', 'black suit']","['person', 'suit']",['Man'],['person'],classification,"2,3"
84,84,8162775105.jpg#3r1e,entailment,A pregnant lady singing on stage while holding a flag behind her.,A woman is making music.,Pregnant lady implies woman., A *pregnant* *lady* singing on stage while holding a flag behind her., A *woman* is making music.,"Pregnant lady is a type of woman, and singing is making music.", A *pregnant* *lady* *singing* on stage while holding a flag behind her., A *woman* is *making* *music.*,A pregnant lady is a woman and singing is a form of making music, *A* *pregnant* *lady* *singing* on stage while holding a flag behind her., *A* *woman* *is* *making* *music.*,['pregnant lady'],['woman'],['pregnant lady singing'],"['woman', 'making music']",['A pregnant lady singing'],['A woman is making music'],classification,"2,3"
574,574,4742826670.jpg#3r1e,entailment,"A black man, wearing a cap, is sitting in a bus.",A man is traveling on public transportation.,A bus is a form of public transportation.," A black man, wearing a cap, is sitting in a *bus.*", A man is traveling on *public* *transportation.*,A man sitting in a bus is traveling on a public transportation.," A black man, wearing a cap, is *sitting* *in* *a* *bus.*", A man is *traveling* on *public* *transportation.*,"Black man is a man, and bus is a form of public transportation."," A *black* *man,* wearing a cap, is sitting in a *bus.*", A *man* is traveling on *public* *transportation.*,['bus'],['public transportation'],['sitting in a bus'],"['traveling', 'public transportation']","['black man', 'bus']","['man', 'public transportation']",classification,"1,3"
811,811,3220090772.jpg#0r1e,entailment,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass.,a woman holds a glass,Brunette holding a wineglass shows that a woman holds a glass., A *brunette* woman in a multicolored floral outfit and a pearl necklace is talking while *holding* *a* *wineglass.*, *a* *woman* *holds* *a* *glass*,A wineglass is a type of glass., A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a *wineglass.*, a woman holds a *glass*,A wineglass is a type of glass., A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a *wineglass.*, a woman holds a *glass*,"['brunette', 'holding a wineglass']",['a woman holds a glass'],['wineglass'],['glass'],['wineglass'],['glass'],classification,"2,3"
989,989,3360582670.jpg#3r1e,entailment,A young adolescent is jumping into a pool.,The child is diving in the pool.,Diving is a form of jumping.  A child is a young adolescent., A young *adolescent* is *jumping* into a pool., The *child* is *diving* in the pool.,"Young adolescent  is a child, and diving is a form of jumping.", A *young* *adolescent* is *jumping* into a pool., The *child* is *diving* in the pool.,"Young adolescent is a child, jumping and diving are same actions.", A *young* *adolescent* is *jumping* into a pool., The *child* is *diving* in the pool.,"['adolescent', 'jumping']","['child', 'diving']","['young adolescent', 'jumping']","['child', 'diving']","['young adolescent', 'jumping']","['child', 'diving']",classification,"1,2"
1015,1015,3662271861.jpg#3r1e,entailment,An adult ballerina shows you children how to dance.,A ballerina is teaching kids ballet.,Ballet is a form of dance., An adult ballerina shows you children how to *dance.*, A ballerina is teaching kids *ballet.*,"Adult ballerina is a type of ballerina, and children are kids.", An *adult* *ballerina* shows you *children* how to dance., A *ballerina* is teaching *kids* ballet.,"If the ballerina shows kids how to dance, they are teaching the children.", An adult ballerina *shows* you children *how* *to* *dance.*, A ballerina is *teaching* kids ballet.,['dance'],['ballet'],"['adult ballerina', 'children']","['ballerina', 'kids']","['shows', 'how to dance']",['teaching'],classification,"1,2"
1124,1124,1030041880.jpg#3r1e,entailment,A woman in a green skirt and white tank top singing into a microphone.,A woman sings.,Singing into a microphone is a form of sings., A woman in a green skirt and white tank top *singing* *into* *a* *microphone.*, A woman *sings.*,"Woman in a green skirt is a type of woman, and singing into a microphone is a rephrasing of sings.", A *woman* *in* *a* *green* *skirt* and white tank top *singing* *into* *a* *microphone.*, A *woman* *sings.*,Both sentences state that the woman is singing., A *woman* in a green skirt and white tank top *singing* into a microphone., A *woman* *sings.*,['singing into a microphone'],['sings'],"['woman in a green skirt', 'singing into a microphone']",['woman sings'],"['woman', 'singing']",['woman sings'],classification,"1,2"
1369,1369,2870426310.jpg#2r1e,entailment,Two little girls and one little boy are running on the grass.,Three kids are running.,Two little girls and one little boy also describes three kids., *Two* *little* *girls* *and* *one* *little* *boy* are running on the grass., *Three* *kids* are running.,"Two little girls and one little boy are three kids, and running on the grass is a type of running.", *Two* *little* *girls* *and* *one* *little* *boy* are *running* *on* *the* *grass.*, *Three* *kids* are *running.*,Girls and boy are a type of kids., Two little *girls* and one little *boy* are running on the grass., Three *kids* are running.,['Two little girls and one little boy'],['Three kids'],"['Two little girls and one little boy', 'running on the grass']","['Three kids', 'running']","['girls', 'boy']",['kids'],classification,"2,3"
1656,1656,4546261932.jpg#3r1e,entailment,Reflections of people walking in a big city.,Several folks stroll through the city.,Reflections of people imply the actual presence of people; folks are people; strolling is a type of walking; 'through the city' does not contradict being 'in a big city'., *Reflections* *of* *people* *walking* *in* *a* *big* *city.*, Several *folks* *stroll* *through* *the* *city.*,People are walking in the city., Reflections of *people* *walking* in a big city., Several folks stroll through the *city.*,"People are several folks, and stroll is a type of walking.", Reflections of *people* *walking* in a big city., *Several* *folks* *stroll* through the city.,['Reflections of people walking in a big city'],['folks stroll through the city'],['people walking'],['city'],['people walking'],['Several folks stroll'],classification,"1,3"
1666,1666,2169709244.jpg#1r1e,entailment,A little girl in a blue dress is sitting on a red you tractor.,A girl sits on a vehicle.,The girl sits on a vehicle because she is sitting on a tractor., A little girl in a blue dress is *sitting* on a red you *tractor.*, A girl *sits* on a *vehicle.*,A tractor is a kind of vehicle., A little girl in a blue dress is sitting on a red you *tractor.*, A girl sits on a *vehicle.*,"Little girl is a girl, and tractor is a type of vehicle.", A *little* *girl* in a blue dress is sitting on a red you *tractor.*, A *girl* sits on a *vehicle.*,"['sitting', 'tractor']","['sits', 'vehicle']",['tractor'],['vehicle'],"['little girl', 'tractor']","['girl', 'vehicle']",classification,"2,3"
1841,1841,3036894037.jpg#1r1e,entailment,Two commandos with gun by a staircase and an old man holding a hat is sitting on the stairs.,Two soldiers carry weapons.,Commandos are soldiers and if they are with gun then they carry weapons., Two *commandos* *with* *gun* by a staircase and an old man holding a hat is sitting on the stairs., Two *soldiers* *carry* *weapons.*,Commandos are a type of soldiers.  With gun means they carry weapons., Two *commandos* *with* *gun* by a staircase and an old man holding a hat is sitting on the stairs., Two *soldiers* *carry* *weapons.*,Commandos are a type of soldier and they carry weapons such as a gun., Two *commandos* with *gun* by a staircase and an old man holding a hat is sitting on the stairs., Two *soldiers* carry *weapons.*,['commandos with gun'],['soldiers carry weapons'],['commandos with gun'],['soldiers carry weapons'],"['commandos', 'gun']","['soldiers', 'weapons']",classification,"2,3"
1885,1885,7760172752.jpg#3r1e,entailment,A middle-aged man works under the engine of a train on rail tracks.,A guy is working on a train.,The guy is middle-aged., A *middle-aged* man works under the *engine* of a train on rail tracks., A guy is working on a train.,"Middle-aged man is a type of guy, and works under is a paraphrase of working.", A *middle-aged* *man* *works* *under* the engine of a train on rail tracks., A *guy* is *working* on a train.,A middle-aged man and guy suggest the same type of individual by age and gender., A *middle-aged* *man* works under the engine of a *train* on rail tracks., A *guy* is working on a *train.*,"['middleaged', 'engine']",[],['middleaged man works under'],"['guy', 'working']","['middleaged man', 'train']","['guy', 'train']",classification,"2,3"
